text,true,pred
decided park behind see business called 911 saw copper stopper coming decided pull driveway unload kid go inside dealt strange people well deal one walking question followed child house,Stress,Normal
nsfw terrified lost job completely fault sick complete disappointment everyone know exist everyone know would better including especially daughter trying get courage need want say good bye love afraid people think dramatic sorry thought would help put instead journaling,Bipolar,Depression
anyone talk,Depression,Suicidal
sure right sub assistance googled low time bombarding text careful response incase fuck worried anything stupid advice respond help offer distance part text context one depressed friend life another city psychotic event right getting worried type text sending,Depression,Stress
ever situation erratic sleep schedule due high low work find solution irregular sleep schedule,Depression,Normal
long story short chronically ill depressed 17 year never claimed disability even though probably eligible worked life long period unemployment due health issues4 year ago returned home parent living away year life fell apart home 6 month mental health rapidly declining worked would finished long term relationship would come back different life lost decided claim universal creditjob seeker get back track mum inheritance money grandparent sitting account many year decided give claimedi realise threshold claiming exceeded literally hundred pound eligible claim iti home nearly 4 year living nightmare mental health fallen apart absolute rock bottom including regular suicidal thought tendancies worked whole time barely thing sought help mental health awful traumatising experience 17 year chronic health condition disputed told depressed needed take responsibility life literally laughed room saying close suicide especially one occasion 37 thrown away last part youth beyond utterly miserable lost ruined around me livesit dawned today mum given inheritance money right would able claim universal credit would forced getting job would back track instead severe anxiety depression health condition stopped able make decision entered bleak world nothingness nothing sit world contemplating pointlessness existence wailing sleep absolute desperation feeling like worthless piece meat ever exist give money back claim would forced world normality would ami simply cannot take every day nightmare nothing seems worth joy everything seems pointless cannot believe put family think ever get still trapped unable move life balling eye wish would never existedplease need word help major anxiety realisation rumination past 4 year miserably wasting life lost absolutely nothing need calming please,Depression,Suicidal
deal severe depression proving treatment resistant past 56 year rumination anxiety totally control tried almost ssrisnris prozac second time antidepressant seemingly nothing like said rumination anxiety totally ruining life benzos thing help cannot prescribed daily use thinking asking doc trying mood stabilizer low dose antipsychotic need slow brain maybe low dose seroquel would able accomplish curious med helped guy get rumination anxiety control desperate find something slow thought ease anxiety thanks help medication helped rumination,Suicidal,Bipolar
nothing add give world get ever get easier atleast fruitful get get better would like would love understand ever something likelove catchy title,Suicidal,Depression
feel hopeless 28m living parent saving uber driver yes year bad decision largely brought bipolar disorder led point here thing aspiring comedian something got switched personality 3 year ago think anymore still joke wrote 6500 working editing best going try publish completely fucking wasting time get completely polished something happy go leap bound extra mile whathaveyou sell single copy worried future boot friend havent girlfriend 5 year pretty goodlooking feel pathetic life money broken character friendlessness fortunate 62 caucasian male history health fitness getting sober focusing gym plausibility get really aesthetic going cannot broke lonely loser whole life kill see result long enough period feel like pain world would dulled one person loved one put 20 online poker account hovering 80 dream able make thousand way one day afford life want live point want buy hooker havent sex female attention long feel pathetic even tried couple time work scared find way make money,Bipolar,Suicidal
think best approach towards suicidal tendency also admit want attention yes acknowledge feel alone hard try remind also decent person time thank reading going anything really wish someone talk thank,Suicidal,Depression
hi recently gotten pretty long depressive episode cleaned room done laundry biggest issue dish acquired quite dish room today roommate noticed thing gone put back without really noticing back saving anger even embarrassment,Depression,Bipolar
please help many thought need distraction someone please talk,Anxiety,Suicidal
disability include mild symptom suicidal impulsivity lead 4 hospitalization year 3 suicidal ideation one hanging group home considered mild depression 5 ssdi process psychotic symptom including one hospitalized trying commit suicide cop result delusionsbecause symptom considered mild according ssa said mild depression minor neurological disability affect motor coordination trouble cooking cleaning cannot drive learned cope suicidal impulsivity lot like ocd affect attention focus disabled enough work despite getting hospitalization regularly found lack support people minor symptom suicidal impulsivity dissociation psychosis may qualified ssissdiin situation difficulty work case disabled enough support need help since seems often support ssi ssdi vocational rehab tried seek dvr told job reasonable accomodations alj doctor said needed hypothetical could find includes absentee 23 time week need limited simple unskilled task limited interaction community motor vehicle ability operate machinery 2 3 break day lasting 1530 minute reasonable accomodationsi need help employment meet accomodations support work past medicaid limit people mild disability symptom dissociation psychosis area huge gap along housing since currently homeless little support housingi decided go med look job week ago since medicaid monthly limit 1048 month studio 900 month would lose health insurance working past hard find one hire address three year resume gap depression make hard much trouble dealing depression lack focus med nonmedical intervention since feel really disorganized affecting ability find employment ssdi hearing 90 day ago homeless need housing help winter cannot trust ssdi process take long possible deny hope die wisconsin want die freezing tent service program help people cannot work disabled enough ssissdi stuck process 4 year punished income severely depressed cannot find job hire address mild symptom suicidality making difficult keep motivated able find alternative support 3 case manager therapist skill developer gave finding housing take people income 2 year option people disabled work disabled enough ssissdi,Depression,Bipolar
get panic attack sh help,Depression,Normal
go motion everything feel like chore even thing used enjoyi ruined life hate one ever love life worth living alonei stuck look dog even bring joyi hope left know much longer,Suicidal,Depression
going rabbit hole feel bad living another day feeling feeling defenselessness abuse shame painful wound thought thought,Suicidal,Stress
dramatic right honestly wake feel like every day like life boring exhausting time future fine fine damn sick shit maybe make gratitude list fuck even want gracious anything even want person hope die soon,Depression,Suicidal
hey guy sure best place hoping speak doctoral student clinical psych would love seek professional help cannot afford moment definitely need talk somebody referral would appreciated well guy know anyone thanks guy looking speak doctoral student,Depression,Bipolar
young know feeling wayi living life enjoying myselfi want anyone tell get better waited tried get help 5 year exact place started life roller coaster pleasant oneim seventeen year old girl survival mode every day tired fighting alone disappeared tomorrow morning everybody would still go dayso still waiting already made decision next decision going want kill self want pain end,Depression,Suicidal
edit also mention fall asleep snore really loudly hear sleep boyfriend say sound like breathing trying breathe tldr cannot stay awake tvmovies want drive wedge boyfriend,Normal,Stress
common deal want apologize make thing right thing person probably forgot super insignificant want action hard assume people find jerk theyll hate outcast pariah,Stress,Normal
buy food like vegetable fruit chicken shrimp etc even put fridge go bad put garbage hate wasting wasting food money stupid really cannot handle sometimes buying food eating,Depression,Normal
positive mind danger paper cut comedy last panel cracked full comic enjoy post apocalyptic zombie norse magic,Anxiety,Normal
know suicidal thought hallmark symptom clinical depression anyone get thought intensely like thought even feeling low ill get abrupt extreme suicidal thought almost feel like strong urge would never freaking extreme intrusive suicidal thought,Depression,Suicidal
stress song,Normal,Stress
need want idk iti funeral recently broke even morethe consistent pain feel something slowly getting worse harder ignorework withand yet time scared end seek helpi know online test really perfect whatever matter test many question many test always come severe depression anxiety disorder borderline know anymore want break free body shit show lifethe last time stood balcony night walked railing thought would feel finally jump mid thought broke grabbed railing hard could started cry cuz could iteverything going shit hole started self harm even though scratching using screwdriver really hardi want anymore even live home want run away somewhere nice even need life want run away nice place maybe end chill cannot even decide fucking broken need help,Depression,Suicidal
every day feel fucking long school feel even longer somehow,Depression,Suicidal
alice raising hell europe 70 80 day gasoline poured fire drug alcohol thing changed machine gun anyone get day know look unless society get politesse deal descent back decivilization deal epidemic fucking battering psychotizing child deal mindaltering chemical everywhere deal right machine gun expect,Normal,Suicidal
meme many people believe since overcame chronic anxiety levitating hall halo light aimed crown head 8 angel flying behind singing chorus remain state spiritual perfection every moment,Anxiety,Stress
long many year wasted laying bed avoiding everything belong world id actually done something younger might worked better got pushed back sibling needed special care need pushed back mind would burden asked help ill later always way looked deal feeling later decade later still feel like done anything fix tried therapy pill mindfulness bullshit tell help pill gave worse feeling therapy felt belittling like issue wanted office mindfulness work psychiatrist even help push pill endlessly tell well stick zoloft seems working half dose even said abilify needed anymore working doctor tired pill therapist appointment want stop even started thinking ect zap back normal unfixable tell already tell fucking hope let leave stop giving false hope hard cope angry want fixed want better want exist without suffering half lifetime spent misery,Depression,Suicidal
literally make want vomit think hate,Suicidal,Depression
think sad want die terrible alive sick truly alone people people life right life without people cry know,Depression,Suicidal
drunk right getting less less common day literally unintentionally fell couchin moment especially sad almost appear drunk roommate sing louder normally would slurred voice stumble around even slowly lowered ground laid one roommate even went one morning dude 10am check room garbage convinced drinkingis common happen normal feelact kind drunk really sad spell,Depression,Anxiety
bottom line first situation long causing really get anxious thinking time waffling today got invitation started looking flight transport overwhelmed age traveling alone big deal never traveled alone aside handful 2 hr bus trip 2007ish advice,Stress,Anxiety
ate full meal today ate everting plate wity apetite actually oh mg god nyjfdjddjjwjwjwjwjajajakakkalalakakajsnenenennendnd fuvking ti,Depression,Normal
lowest life began writing book thing happened wrote another person experience thing book meant show everyone would want read sadness confused feeling everything ever worst best book know call called requiem suicide still know name read died course suicide book never finished dead meant much never good write pour heart soul month went decided burn regret honestly know ill kill self book,Depression,Suicidal
also headache load headache time im done hate almost bad brain constantly telling im po anxiety fun,Stress,Anxiety
since teenager always experienced depressive episode know late teensearly 20 started feeling suicidal made attempt life used drug alcohol cope many yearsnot point considered addict temporary fix seen professional medicated never feel comfortable enough discus true feeling lack ability verbalize many thought better life year ago recently found unable many thing always loved cannot watch movie listen music like used ill sit dark look phone hour also affected professional growth unable make time learn new skill work little harder usually selfesteem pretty shot self depreciating thought constantly point afraid ill never happy mental health,Depression,Bipolar
people want kill alive tell much fuck like dad hate want die,Depression,Suicidal
posted somewhere else well want many opinion possible see wrongtitle say basic saying depth version still young young fact 16 already see people saying young make assessment please hear cannot talk girl past friendship way scared offensive filter say thing mean harm people end example one day could see one friend visibly annoyed someone asked brain could think mouth said time month obviously hurt felt like crap worse tbh felt like terrible friend cannot pick social cue needed could like example interrupting people talking changing subject constantly etc one thing good reading certain emotion even mouth move faster brain fat unattractive pimple hair mess hate dealing constantly look tired general demeanor someone isint someone attractive someone anyone attracted self conscious weight swimming done shirt confident lot problem mentionand would ask id tell fine would create wedge interest includes staying inside playing game outdoor activity enjoy horseback riding constantly annoyed know offer nothing way confident enough anything hug enjoy alone completely want someone happen put reason table need help seeing missing something thing note would minuscule self worth self preservation lack romantic gesture show care cannot even articulate care people beyond saying word care people really close hard articulate feeling well accedemelally failed every class year failing large amount class since 6th grade meaning one thing id want cannot accomplish game designer thanks listening sorry long want someday find someone like know never happen,Depression,Suicidal
left uni one year ago fired job one month ago friend people use never relationship mental health mess one love care could disappear one would notice mind home alone 8 day family return holiday hide temptation end pretty strong feed cat come back though want make suffercannot take longer everyone get tired sick best month place world please make disappear worthless,Depression,Suicidal
struggled immensely bipolar last year specifically july december thing good well life july year around date surprisingly hope plummeted depression taking reason career undergrad niche background yet something job whatsoever willing shift somewhat generic field master ie management hailing india seen insane competition quite lot suppression well india popular choice degree let u take name people motive behind degree literally try hand every single field money ease job despite relevance make much harder passionate people field succeed henceforth quite entailed constant depression anxiety enhanced mental illness lot ambition rather courageous move india follow path feel scared might even able survive parent struggle peanut money rather small hope still pertains yet sure die soon well exactly one year suicide seems like good option,Suicidal,Depression
feel worthless unwanted nowhere go never good enough anybody cannot stop breaking empty house thought thing would better getting worse scared hurting badly way cannot explain nobody need someone please help alone hurt bad,Depression,Suicidal
