text,true,pred
got friend cannot party neighbour cunt got nothing look forward give going depressing season ever everyone happy enjoying suicidal room fucking hate time year,Depression,Suicidal
hate life much social life till 27 like back day kindergarden teacher literally begged child least try befriend exclude activity still got marginalized 0 friend got bullied lot still cheerful person till moved parent house went uniand thing started turn better guess covid happened isolation fact live literally shit country romania made even worse hurt impossibility find romantic partner tried every dating app possible went every social event restriction lifted literally trying hard check box success single chancealso tried therapycounselling help one tell eventually find someone cannot menrally exhausted try anymore feel condemned live dream nightmare stuff called life dream every aspect life point going absolutely perfect social aspect give suicidal thought every daythe thing aggressive troll internet said something bad toabout sorry mean unending frustratiin speaks sometimes wish terminal disease know certainly die soon,Suicidal,Depression
feel like wish somebody love wish one loved hurt feel like depression would easier go someone else feel like one love would one get every time every single time fall back hole get hurt one want something every time feel like potentially someone date never work hard like someone nothing ever good come see friend success love life ex girlfriend hurt hurt bad emotionally held hostage abused emotionally played like band band instrument try hard got far end even matter shit every fucking time even future girlfriend problem would rather go anyone fuck shit bro sad life hard sometimes get put fight every day much live alone,Depression,Suicidal
would help much could use car worry insurance etc would huge help would also paint picture person help avid painter want get done food everything like necessity taken care fund get done 7th help would appreciated much,Normal,Stress
girl bestfriend year became couple end treated like shit tossed dirt emotionally manipulated abused changed tried best end still left cut tie one hurt happened taking care family member hospitali never type drown sorrow ever imagine considering idea ending lifebut amthe world fucked place fucked people last relationship breakup emotionally fucked bad,Suicidal,Depression
unfortunately 17f three month away turning 18 expect medical advice rant year ago psych ward previous attempt suicide assigned see therapist since got discharged multiple fucked episode since recent one costing job temporarily work month therapist told likely bipolar disorder assigned see doctor next month car narcissistic father take told could take u want yelled yelling mother asking financial support saying exactly left refused take waiting month care swore blaming u bullshit narcissism said mother apologize action going stop taking care dental need doctor appointment etc mom believe medication really fan either since bipolar pointed hallucination paranoia insomnia impulsive decision suicide attempt make sense dramatic shift mood time year believe manic moment decision making get waaaaay fucked usual loud fast talking energized slept 5 hour night sleeping regardless 9 hour shift work insight happened many time really irritable mother like 18 say care believe medicine like medicine either want like anymore call dramatic feel like going hell mind everyone feel need call bitchme sleep closing work almost remote chance sleeping niece start screaming head offmy sister recently shit cry recent miscarriage baseball game asking go home wanted see fucking big rich lmao literally yelled whole time asking leave front zillion people start hissing blaming waking child clearly already awake screaming got upme pissed thismy sister bitch momme exhausted cannot sleep due episodemy mom take garbageme okaymy mom said everything around lay theremedid sleep work hate life general want react way keep freaking get done promise youmy mom always say always thing done way proceeds threaten call dad someone yell memeyells expletive extreme anger start screaming covering ear sensory overload begs leave alone nothing would relieving pointmy mom walk away dramaticmy mom get disease brain make live like make angry say stuff like thatmy dad nutshell bipolar narcissistic blackmail taking care mei hate people try tell teenager want people go hell tried die 3 time cannot function without stimulant lost child shit feeling abandonment issue dad leaving one forcing world problem replacing still let u forget lol mention people called mess left used romantic level three current diagnosis already express get called bitch somebody worsei donei feel like genuinely cry mood let deal manic episode called dramatic mother let go medication long story look,Depression,Bipolar
thinking quiting new psychologist method trying teach overcome depression basically old psychologist old plan timetable follow thing motivation literally anything 0 atleast able carry daily chore goddamn take toll suicidal thought constantly jabbing psychiatrist hand said could take ketamine subjective since depression 7 year guy think right thing,Suicidal,Depression
misery much worse prelamictal torment much scarier feel almost demonic like someone outside tormenting mean literally psychotically subjective description cry spell day mean entire day doesnt matter hanging doesnt matter work quit time doesnt matter working shake cry shake cry like wailing violent cry terrifying feel chemical control like absence drug scary people around,Stress,Bipolar
guess really redeeming quality woman ever love,Depression,Normal
make call landlord tell still rent failure many way cannot stop cry know alive anymore maybe stalker right maybe get deeply unhappy nothing going get better forced go event downtown people would take anxiety consideration terrified going get covid two week also birthdayi cannot anymore okay,Suicidal,Depression
may may accompanied good news injured get well soon sorrow turn love quieter anxiety prayer patientsenjamu,Anxiety,Normal
36 one thing constantly think leaving place insomnia longer remember oldest 5 younger sibling married child every tree see want hang every pillar see want take seatbelt full throttle ram seems like opposite sex like use ok first affection ever got done everything everyone think make 40 want either,Depression,Suicidal
money spent 7000 last month account overdrawn opened another credit card get somebody take card away lol,Bipolar,Normal
went 30 20 sunday day 3 horrible anxiety irritability pas anyone lower dosage prozac feel horrible,Depression,Anxiety
going med telling doc tired side effect feeling like numb lazy blob want feel going take gabapentin clonidine smoke cbd lt2 thc everything else put away need functional calm,Bipolar,Depression
make feel damaged person knowing tried 6 year dating barely got past 2nd date 30 would choose relationship seems like may happen different feeling knowing much choice staying single compared chose lifestyle plenty option,Depression,Suicidal
one worst experience psychosis one worst experience psychosis woke cold sweat convinced killed parent sleep terrified stabbed death kept getting opening door make sure still alive breathing slept couldnt shake feeling lasted dad woke work hour later anyone experienced something like,Bipolar,Suicidal
context 19 year old job go school trying find job getting permit seems vaini live toxic enviroment mother grandfather sexually abused child father give slightest shit instead reminds much burden every two second mother hella abusive point ganging grandfathermy body always feel exhausted tired medication fucking working much pain fucking time cannot take anymoremy mother like comment self harm scar insult mei friend nobody give shit emotion every time open get invalidated dismissed entirely know people job care would nice someone understood mei fed want slit throat emptiness hopelessness becoming worse,Depression,Suicidal
cannot bring anything almost year stopped giving exam completely one coming instead studying wasting time cannot idea speak front someone long crippling even front screen studyng seems pointless already know probably chicken anyways know ever able graduate even able work apparently kind responsibility way much handle already told parent want quit keep saying alternative least try think sick tired mean would blame girlfriend probably leave realizes much failure mess tried go therapy quite work felt like could thrust one bit sleeping becoming harder harder want sleep wake next day try delay inevitable sleeping know dumb cannot help suicide seems everyday closer cannot function like normal human basically parasite serve purpose wasting resource know mentally incapable lazy trying find excuse latter true deserve death even know stopping probably fear failure idea making people love unconditionally suffer throught pain loss time really think would better without long term insert clickbait title,Suicidal,Depression
nobody listens hello tired people interested say whole family annoying example today trying talk something really important mother meant lot dont normally open mother hearing went mm okay went phone car held back tear entire drive home finally got room cried eye happened lot mother emotional person whenever open think maybe react nicely one last straw fact couldnt even say anything back thing appalling broke heart another person frustrating brother could listen talk video game four hour straight great conversation moment mention something want talk go phone ignores dont get wrong way better mother still really disappointing always taught hold never speak feeling really suck really want goo friend dont mind expressive listen stressed let cry shoulder vise versa wanna able talk stuff enjoy people actually interested say anyways never going talk anything family ever one day real family see ya,Stress,Personality disorder
parent family love amazing life many dog cat hate life always think killing myselfi hate look pain feel try act like want anyone notice know brother joking feel pain feel bad still hurt like,Depression,Suicidal
hang like doc mamai face basic question hang asking question cannot cannot cannot even settle ask someone else okay accepted siye laaaa,Normal,Suicidal
cannot get feeling nothing feel good finished spring break chance work every day even working felt overwhelmingly anxious cannot state concisely thinking,Stress,Anxiety
cps came take sister kid yesterday thought house clean enough one help life shamble,Depression,Normal
remember felt like anxious one medicine none one put take edge cannot even play xbox live without holding breath get anxious people hear breathe mute mic give lung reprieve go back holding thanks reading little rant,Stress,Anxiety
gotta go bank tomorrow see fuck going problem 3 week ago bi,Suicidal,Normal
put together sobbing hard almost made vomit last night pounding headache hold breath parent would hear cryingi love since 2018 rejected ghosted 2020 cry constantly grieving every day 3 year never hd girlfriend 25 pain never able contributed decision kill already attempted failed hang time something cope every day sickness never go away pain emotional physical dealing every single day since fall 2018it readsdear ki wish knew special wish knew happy would together know would make happy let happy want love muchi wish knew happy make wish knew full love heart wish could hold arm protect one could hurt youwhen young learned word always french toujours always sounded like beautiful graceful yet heavy word something sound sound melancholy sentimental genuine strongyou always heart toujours always always heart promisei love much written suicide note going send different people one going girl love,Depression,Suicidal
parent separated 9 since everything went wrong childhood cat grandpa died month later felt sad almost everyday cried almost every night year later went primary school thing got even worst started social anxiety made miss lot class also difficulty new school even tho used quite good old school 11 back thought lot suicide knew still hope future bad grade parent took specialised center discover going brain discovered gifted made feel even worse could understand bad grade supposed much ease grade went extremely mental health still friend life really good parent tried find solution problem disgusted living wanted start everything back 0 parent thought would good idea move another country speaks another language ask even know stupid choose option tried everything new country nothing worked multiple year sadness stress officially diagnosed severe depression social anxiety psychiatrist point even going school anymore started homeschooling work anxiety also tried medication multiple month made depression even worst 16 nothing scholar stressed sad angry lonely friend thousand kilometre dad cannot find anything stop constant pain killing hope almost lived longer pain happy,Suicidal,Depression
sadly dead yet please pray die sleep tonightthank dead yet,Depression,Suicidal
friday let go job saturday birthday sunday spent bed today know anxious finance received letter today irs stating owe 6099 back tax garnishment begin immediately upon reading state quit terminated last check withheld entirety child support insurance beautiful daughter make less 400 every biweekly pay check though stressful could deal left enough money cover rent typically little extra spending anything sometimes could eat day still came creative way find food even 331 average check get headstrong pretty resilient grip depression part thought suicide come benefit others financially child really put kibosh realistically contemplating however whole different story get see child 34 time month child mother lost virginity 17 23 34 wasis smart graduating h valedictorian private school summa cum laude barely graduated h talented musician relied heavily wit charm decreasingly good look afraid take court know court view taking virginity slightly young age live fear care immensely daughter mother attest others soul mate forgive ramblings longer get quicker lose focus deep hole know whether worth trying climb side turned mud begin,Suicidal,Stress
mother hand tell explained way dress front blame creating opportunity wear something nice ie going someplace due preferring work listening side separately put place helpless cannot anything withdraw think thing relieve basically dont understand,Stress,Normal
like bottle pill counter old antidepressant want live anymore know fail much trouble,Depression,Suicidal
thank feel free send message need someone talk toplease,Suicidal,Depression
22 year old newly wedded wife 5 month married husband waiting right guy whole life waited whole life men scared grew believing men like abuser dad abused majority 22 year throughout engagement made clear wanted dad walk aisle met question,Normal,Stress
17i social anxiety beginningi half bloodso half family abroadi live uncle aunt studiesthat social anxiety living alonethese ting made really depressedi tried committing suicideeven hurt myselfanywaysi got together familymy depression got lot betterbut 2 month ago father committed suicidei really depressed social anxiety peak tooi lost interest everythingi cannot concentratemy grade fallingcannot enjoy lifei even want hurt myselfit like lazy want anymorei tried talking family last year depression said agebecause confused nowi know whether get help notor keep living like thiswhich mind anymoreanywaysthank readinghave good day,Depression,Suicidal
panic attack went er need support would anyone want talk bit,Anxiety,Suicidal
giving mood stabilizer make feel better like year never happenedi cannot wait longer longest day ever even close endingi know give anything week say least waiting putting everything away much timethey letting suffer purpose think somebody told dropping themself roof obviously tried kill themself past stand living without kind help except fucking lithium even idea somebody elses actually cared enough mental health somethingi feeling like way long even find killing option anymore need someone cannot shit thrown act like nothing need solution right,Depression,Suicidal
dae talk much overshare reason usually secretive person start talking almost always go unneccessary detail,Personality disorder,Normal
ciaoi 29 whole body rotting awaybad teeth fingernail hair skin obese ugly low paying job schizophrenia bipolar disorder social anxiety apartment fucking smelly messi feel dead human fucking garbage trash shit worthless piece rotting fleshthere way even care anymorei wish could change everything wish willpower wish human againfuck soon 30 year old failure,Depression,Suicidal
officially broken im city family resides im homeless id rather alone around negative people month since chose path ive strong entire way got short relationship bit toxic taste basing relationship shall say physical aspect found top fucking ex weve talking yesterday told belief may pregnant ex early take pregnancy test acted normal let conversation flow would phone finished could stop thinking told next day told brake blamed everything kept cool explained felt ignored created distance could heal ive come conclusion dont want heal want end ive never ready end life today break everything condition world future situation family able find get place stuck city absolutely hate ive strong dont give fuck thought life meant worth living,Stress,Suicidal
fucked someone kill please fucking shoot fucked big time deserve die lost 150 dollar cannot pay bill,Depression,Suicidal
sleeping 6 hour heart racing chest pain hello sick leave work 3 month tomorrow im starting slowly 3 hour throughout january persistent restlessness sleeping 46 hour every night woken slept 24 hour getting noon past two week tried get 8 match work schedule sleep 6 hour stay bed trying get last two hour worry im still sleeping full night im sure stress hiatal hernia chronic neck pain wake wake rather abruptly im guessing stress sometimes wake racing heart speaking racing heart started get randomly racing heart throughout day wonder im starting work im nervous social anxiety im trying fit new first mindset im big people pleaser break habit also keep getting chest pain im sure hiatal hernia stress idk im feeling uneasy feeling better 3 month,Stress,Anxiety
leaving place manager attempting rush u get apartment serviced 24 hour notice intimidation behaving angry way leaving mean voicemail paper pissed door yelled 1 lived toward last month documenting everything collecting paper copy communication another narcissistic manager tenant animal abuser wish actual law aspca would partner coulda helped 1 living second apartment,Normal,Stress
normal childhood want talk today say happy child like really think made cry easely sensitive person know like curse ti honest hate much smth control could control fucking would one ubderstands cry insignificant thing always invalidated even little stupid child invalidated feeling made fucking believe joke appearence normal made believe abuse normal relationship trauma come secondhand abuse long story short born raised surrounded abuse scream etc anyway sometimes dad joke mistake today talking parent remember conv quite well go even planned mom laughed know every child planned like normal someone hear occasionally like wrong upset short time ago like even want crazy told started cry mom told cry stupid thing care told even laughed funny fucking find funny find wrong like hurt laugh normal find normal even plan,Suicidal,Depression
really much say anything change mind feel truly feel like matter cannot help feel like really matter,Suicidal,Depression
growing dad would hit u college would irrational fear able finish assignment would dropped even 100 time successfully completed assignment hope thought work earn money go away tremendous problem anything workrelated right constant fear getting fired able job bos overwork damage health maybe essentially trust issue outward anxiety fear always feel like fear sent fight lion cage likely cannot fight torn apart constant fear make want escape life face tremendous pain torn apart lion life enjoyable constant fear want live fear anymore make stop fear making life difficult,Suicidal,Anxiety
get close people leave fight get rock got feeling already bad childhood got sexually harassed dad used beat scream got one tell confidence low hate know would never change going always happen end suffering kill future kid raise failure getting ditched,Depression,Suicidal
decided park behind see business called 911 saw copper stopper coming decided pull driveway unload kid go inside dealt strange people well deal one walking question followed child house,Stress,Normal
nsfw terrified lost job completely fault sick complete disappointment everyone know exist everyone know would better including especially daughter trying get courage need want say good bye love afraid people think dramatic sorry thought would help put instead journaling,Bipolar,Depression
shower started think life realy miserable mom say 27 single mom 19 month old currently living parent going parental court take 100 care soni get 6 morning rain shine matter panic attack night tend son every need play read take walk go bed around 78 go bed asleep 10i currently sick leave due ptsd stayed home son till march 6 hour alone every day except weekend spend daysrelaxing napping day cleaning getting back foot went pndpna ppdppa pregnancypostpartum anxietydepression ptsd went shit eating disorder blossomed hard since need put son first done time put first daytime workingi got social life well talk bit neighbour parent kindergarten meet friend date focus son feel lonely anything bit failure time hard mom worst day want get bed getting outside playground also hard iti feel like putting much hard work mom talk tell cut crap life miserable starting think might befrom 8 everything utter shit contempt good place even though struggeling ppd lifted alot love son much waiting whole motherly feeling want stay bubble working hard mama son need mean much social day working mebefore son sociali worked 110 made even sick thing pace working showeringbrushing teeth jazz want slip end dark hole super confusedis life seriously miserable life sound miserable,Depression,Suicidal
anyone talk,Depression,Suicidal
ever situation erratic sleep schedule due high low work find solution irregular sleep schedule,Depression,Normal
long story short chronically ill depressed 17 year never claimed disability even though probably eligible worked life long period unemployment due health issues4 year ago returned home parent living away year life fell apart home 6 month mental health rapidly declining worked would finished long term relationship would come back different life lost decided claim universal creditjob seeker get back track mum inheritance money grandparent sitting account many year decided give claimedi realise threshold claiming exceeded literally hundred pound eligible claim iti home nearly 4 year living nightmare mental health fallen apart absolute rock bottom including regular suicidal thought tendancies worked whole time barely thing sought help mental health awful traumatising experience 17 year chronic health condition disputed told depressed needed take responsibility life literally laughed room saying close suicide especially one occasion 37 thrown away last part youth beyond utterly miserable lost ruined around me livesit dawned today mum given inheritance money right would able claim universal credit would forced getting job would back track instead severe anxiety depression health condition stopped able make decision entered bleak world nothingness nothing sit world contemplating pointlessness existence wailing sleep absolute desperation feeling like worthless piece meat ever exist give money back claim would forced world normality would ami simply cannot take every day nightmare nothing seems worth joy everything seems pointless cannot believe put family think ever get still trapped unable move life balling eye wish would never existedplease need word help major anxiety realisation rumination past 4 year miserably wasting life lost absolutely nothing need calming please,Depression,Suicidal
deal severe depression proving treatment resistant past 56 year rumination anxiety totally control tried almost ssrisnris prozac second time antidepressant seemingly nothing like said rumination anxiety totally ruining life benzos thing help cannot prescribed daily use thinking asking doc trying mood stabilizer low dose antipsychotic need slow brain maybe low dose seroquel would able accomplish curious med helped guy get rumination anxiety control desperate find something slow thought ease anxiety thanks help medication helped rumination,Suicidal,Bipolar
nothing add give world get ever get easier atleast fruitful get get better would like would love understand ever something likelove catchy title,Suicidal,Depression
feel hopeless 28m living parent saving uber driver yes year bad decision largely brought bipolar disorder led point here thing aspiring comedian something got switched personality 3 year ago think anymore still joke wrote 6500 working editing best going try publish completely fucking wasting time get completely polished something happy go leap bound extra mile whathaveyou sell single copy worried future boot friend havent girlfriend 5 year pretty goodlooking feel pathetic life money broken character friendlessness fortunate 62 caucasian male history health fitness getting sober focusing gym plausibility get really aesthetic going cannot broke lonely loser whole life kill see result long enough period feel like pain world would dulled one person loved one put 20 online poker account hovering 80 dream able make thousand way one day afford life want live point want buy hooker havent sex female attention long feel pathetic even tried couple time work scared find way make money,Bipolar,Suicidal
think best approach towards suicidal tendency also admit want attention yes acknowledge feel alone hard try remind also decent person time thank reading going anything really wish someone talk thank,Suicidal,Depression
hi recently gotten pretty long depressive episode cleaned room done laundry biggest issue dish acquired quite dish room today roommate noticed thing gone put back without really noticing back saving anger even embarrassment,Depression,Bipolar
please help many thought need distraction someone please talk,Anxiety,Suicidal
disability include mild symptom suicidal impulsivity lead 4 hospitalization year 3 suicidal ideation one hanging group home considered mild depression 5 ssdi process psychotic symptom including one hospitalized trying commit suicide cop result delusionsbecause symptom considered mild according ssa said mild depression minor neurological disability affect motor coordination trouble cooking cleaning cannot drive learned cope suicidal impulsivity lot like ocd affect attention focus disabled enough work despite getting hospitalization regularly found lack support people minor symptom suicidal impulsivity dissociation psychosis may qualified ssissdiin situation difficulty work case disabled enough support need help since seems often support ssi ssdi vocational rehab tried seek dvr told job reasonable accomodations alj doctor said needed hypothetical could find includes absentee 23 time week need limited simple unskilled task limited interaction community motor vehicle ability operate machinery 2 3 break day lasting 1530 minute reasonable accomodationsi need help employment meet accomodations support work past medicaid limit people mild disability symptom dissociation psychosis area huge gap along housing since currently homeless little support housingi decided go med look job week ago since medicaid monthly limit 1048 month studio 900 month would lose health insurance working past hard find one hire address three year resume gap depression make hard much trouble dealing depression lack focus med nonmedical intervention since feel really disorganized affecting ability find employment ssdi hearing 90 day ago homeless need housing help winter cannot trust ssdi process take long possible deny hope die wisconsin want die freezing tent service program help people cannot work disabled enough ssissdi stuck process 4 year punished income severely depressed cannot find job hire address mild symptom suicidality making difficult keep motivated able find alternative support 3 case manager therapist skill developer gave finding housing take people income 2 year option people disabled work disabled enough ssissdi,Depression,Bipolar
originally posted rsuboxone thought might appropriate peep kindly let know go anywayjust wondering anyone sameboat story addiction short one compared many post long ill provide concise tldr end mother extremely close saw every single day even lived died suddenly sleep week 27th birthday imagine word devastated justice already battling depression since little girl never without relief ssri ndris atypical even ketamine infusion followed sublingual ketamine drop thing ever tried maoi finally put adderall several year treatment resistant depression got bed made could hold job chose take day id spend day blacked room leaving bed seeing light little possible adderall made feel horrible physically moody reckless worthless otherwise mom one family ever knew knew always much much different kind little girl problem tried solve together never could youngest three sister 12 year senior brother 9 year senior chose never anything significant life sister always waitress brother bartender one attended university built career writer despite poorly written post actually abnormal family moved israel still young better school jewish family take education seriously sibling always zero confidence ambition passion parent type push hindsight like father father retired 50 mother supported everything everyone still paid sibling phone bill even though nearing 40 lent money whoever needed sure financial stress contributed early death died bill debt stop someone take realistic person take overcome incomprehensible depression grief could work could lose 75k year job suddenly family support sister unemployed time stayed way year half following mom death despite obvious pressure brother recently baby year ago excuse would helped regardlessto get point started getting prescribed oxy 30 doctor ruined adolescence longer allowed practice prescribed carpal tunnel numbed made capable working knew making choice become addicted knew id face eventually 10 month later losing 15 pound less 130 start id gotten point spending hundred hundred dollar pill overdosed taking 90mg oxy 30mg adderall well seizure know technically od happened driveway came father screamed hour saying thing ill never fully get month later prescribed buprenorphine first thought felt good going withdrawal constantly stressing finding next pill buprenorphine totally changed life felt like normal person first time entire life still depressive average 20something girl still introvert cleaned thing kept space tidy organized got promotion raise work healthier interpersonal relationship went gym nearly two hour every day year half two year almost day momss death met man nearly certain marry know everything never judged first time know good partner drag depression he also prozac bit depressive somehow make u even closer he 10 year older wisdom sadness depression really help love pure way feel right read everything read buprenorphine use depression break heart people cannot access reason long take label opioid addict something reminds darkest period life recently tried going trying wellbutrin instead horrible experience 8 week bought xanax cocaine two thing id never addiction interest felt needed work sleep boyfriend saw change really urged say fuck stigma going take whatever pill make best version myselfwhen come people like knew time little kid depressed cannot find relief point although never personally suicidal thought see people feel like giving maybe post better depression thread reddit pro sharing experience medication turned train wreck never felt sober happiness someone precipice engagement derives pleasure painting reading running thing never thought possible buprenorphine tldr buprenorphine finally successfully relieved treatment resistant major depression literal miracle personally even though took going hell get lifelong treatment resistant major depression buprenorphine changed life,Depression,Stress
get panic attack sh help,Depression,Normal
go motion everything feel like chore even thing used enjoyi ruined life hate one ever love life worth living alonei stuck look dog even bring joyi hope left know much longer,Suicidal,Depression
going rabbit hole feel bad living another day feeling feeling defenselessness abuse shame painful wound thought thought,Suicidal,Stress
dramatic right honestly wake feel like every day like life boring exhausting time future fine fine damn sick shit maybe make gratitude list fuck even want gracious anything even want person hope die soon,Depression,Suicidal
hey guy sure best place hoping speak doctoral student clinical psych would love seek professional help cannot afford moment definitely need talk somebody referral would appreciated well guy know anyone thanks guy looking speak doctoral student,Depression,Suicidal
breathing shallow night im 21 year old cmale 61 180lbs decided audio record sleeping night yeah know throughout almost enitre night breathe like sound like sighing feel like might breathing fast shallow breathe like day could sign something wrong normal,Anxiety,Suicidal
young know feeling wayi living life enjoying myselfi want anyone tell get better waited tried get help 5 year exact place started life roller coaster pleasant oneim seventeen year old girl survival mode every day tired fighting alone disappeared tomorrow morning everybody would still go dayso still waiting already made decision next decision going want kill self want pain end,Depression,Suicidal
common deal want apologize make thing right thing person probably forgot super insignificant want action hard assume people find jerk theyll hate outcast pariah,Stress,Normal
buy food like vegetable fruit chicken shrimp etc even put fridge go bad put garbage hate wasting wasting food money stupid really cannot handle sometimes buying food eating,Depression,Normal
positive mind danger paper cut comedy last panel cracked full comic enjoy post apocalyptic zombie norse magic,Anxiety,Normal
know suicidal thought hallmark symptom clinical depression anyone get thought intensely like thought even feeling low ill get abrupt extreme suicidal thought almost feel like strong urge would never freaking extreme intrusive suicidal thought,Depression,Suicidal
stress song,Normal,Stress
everyone think okay since used complaining anythinggooood even know get monthly rent like literally pandemic suck want kill bad b r k e,Depression,Suicidal
need want idk iti funeral recently broke even morethe consistent pain feel something slowly getting worse harder ignorework withand yet time scared end seek helpi know online test really perfect whatever matter test many question many test always come severe depression anxiety disorder borderline know anymore want break free body shit show lifethe last time stood balcony night walked railing thought would feel finally jump mid thought broke grabbed railing hard could started cry cuz could iteverything going shit hole started self harm even though scratching using screwdriver really hardi want anymore even live home want run away somewhere nice even need life want run away nice place maybe end chill cannot even decide fucking broken need help,Depression,Suicidal
every day feel fucking long school feel even longer somehow,Depression,Suicidal
alice raising hell europe 70 80 day gasoline poured fire drug alcohol thing changed machine gun anyone get day know look unless society get politesse deal descent back decivilization deal epidemic fucking battering psychotizing child deal mindaltering chemical everywhere deal right machine gun expect,Normal,Suicidal
meme many people believe since overcame chronic anxiety levitating hall halo light aimed crown head 8 angel flying behind singing chorus remain state spiritual perfection every moment,Anxiety,Stress
long many year wasted laying bed avoiding everything belong world id actually done something younger might worked better got pushed back sibling needed special care need pushed back mind would burden asked help ill later always way looked deal feeling later decade later still feel like done anything fix tried therapy pill mindfulness bullshit tell help pill gave worse feeling therapy felt belittling like issue wanted office mindfulness work psychiatrist even help push pill endlessly tell well stick zoloft seems working half dose even said abilify needed anymore working doctor tired pill therapist appointment want stop even started thinking ect zap back normal unfixable tell already tell fucking hope let leave stop giving false hope hard cope angry want fixed want better want exist without suffering half lifetime spent misery,Depression,Suicidal
literally make want vomit think hate,Suicidal,Depression
think sad want die terrible alive sick truly alone people people life right life without people cry know,Depression,Suicidal
